REPORTING_YEAR,FACILITY_NAME,GHGRP_ID,REPORTED_ADDRESS,lat,long,CITY_NAME,COUNTY_NAME,STATE,ZIP_CODE,PARENT_COMPANIES,ghg_quantity,SUBPARTS
2011,360 Anadarko Basin - BP America Production Company,1008558,501 Westlake Park Blvd,29.78037,-95.6295,Houston,HARRIS COUNTY,TX,77079,BP AMERICA INC (100%),210960,W
2011,BIG RUN LANDFILL,1007094,1837 RIVER CITIES DR,38.37327,-82.75861,ASHLAND,BOYD COUNTY,KY,41102,ENVIRO SOLUTIONS INC (100%),210728,HH
2011,"Williston Basin (Petro-Hunt, LLC)",1010190,258 119 Avenue SW,47.37656,-103.07779,Killdeer,DUNN,ND,58640,PETRO-HUNT LLC (100%),210628,W
2011,BLACK HILLS ELECTRIC- W.N. CLARK STATION,1005974,550 W US HIGHWAY 50,38.4347,-105.2507,CANON CITY,FREMONT,CO,81212,BLACK HILLS CORP (100%),209857,C
2011,Horsehead Corp. - Palmerton,1004723,900 DELAWARE AVENUE,40.808331,-75.583339,PALMERTON,CARBON COUNTY,PA,18071,HORSEHEAD HOLDING CORP (100%),209518,"C,GG"
2011,TRANSCO STATION 130,1008043,117 WINNS LAKE ROAD,34.09976,-83.08435,COMER,MADISON,GA,30629,"The Williams Companies, Inc. (100%)",209291,"C,W"
2011,CITY OF GREENSBORO WHITE STREET LANDFILL,1006978,2503 WHITE STREET,36.1089,-79.72148,GREENSBORO,GUILFORD COUNTY,NC,27405,"City of Greensboro, North Carolina (100%)",208988,"C,HH"
2011,California Resources Production Corporation – Lost Hills,1000289,12888 Holloway Road,35.686169,-119.801205,Lost Hills,KERN COUNTY,CA,93249,OCCIDENTAL PETROLEUM CORP (100%),208972,C
2011,WASTE MGMT OF OK/EAST OAK LNDFLL,1007801,3201 MOSLEY ROAD,35.50851,-97.41887,OKLAHOMA CITY,OKLAHOMA,OK,73141,"Waste Management, Inc. (100%)",208950,HH
2011,AIR PRODUCTS AND CHEMICALS INC - CATLETTSBURG HYDROGEN PLANT,1005809,11631 US Route 23 ,38.384444,-82.598528,CATLETTSBURG,BOYD,KY,41129,"Air Products and Chemicals, Inc (100%)",208525,P
2011,CLEARWATER PAPER CORP-CYPRESS BEND MILL,1002708,5082 HIGHWAY 4-NORTH,33.705796,-91.238099,ARKANSAS CITY,DESHA,AR,71630,CLEARWATER PAPER CORP (100%),208237,"AA,C,TT"
2011,AIR LIQUIDE - PORT NECHES ASU COGENERATION PLANT,1003780,2121 PARK STREET,29.981116,-93.952389,PORT NECHES,JEFFERSON COUNTY,TX,77651,Air Liquide Large Industries U.S. LP (100%),208188,C
2011,Kimble Sanitary Landfill,1004399,3596 SR 39 NW,40.5058,-81.538,Dover,TUSCARAWAS,OH,44622,Kimble Company (100%),207948,HH
2011,Coalinga Cogeneration Facility,1007204,32812 WEST GALE AVE,36.1807,-120.3885,COALINGA,Fresno,CA,93210,Chevron Global Power Company (50%); EDISON MISSION ENERGY CO (50%),207927,"C,D,DD"
2011,Thompsonville Gas Plant,1004704,,27.257436,-98.936989,Mirando City,JIM HOGG,TX,78369,"Enterprise Hydrocarbons, L.P. (100%)",207855,"C,W"
2011,Niles,1000850,1047 BELMONT AVE,41.1667,-80.75,NILES,Trumbull,OH,44446,"GENON ENERGY, INC (100%)",207676,"C,D"
2011,SMITH GAP REGIONAL LANDFILL,1003666,8484 BRADSHAW RD,37.2891,-80.2134,SALEM,SALEM,VA,24153,Roanoke Valley Resource Authority (100%),207593,HH
2011,ConocoPhillips' Fort Worth Syncline (420),1007476,3300 North A Street,32.02786,-102.09198,Midland,MIDLAND COUNTY,TX,79705,CONOCO PHILLIPS (100%),207295,W
2011,COUNTRYMARK REFINING & LOGISTICS LLC,1005899,1200 REFINERY RD,37.925417,-87.904972,MT VERNON,POSEY,IN,47620,COUNTRYMARK COOPERATIVE LLP (100%),207254,"C,MM,Y"
2011,Aera Energy Lost Hills,1005790,59231 Main Camp Road,35.299879,-119.742604,McKittrick,KERN,CA,93251,SHELL OIL CO (51.8%); EXXONMOBIL CORP (48.2%),207253,C
2011,355 Chatauque Platform,1009264,701 Cedar Lake Blvd,35.56719,-97.49827,Oklahoma City,OKLAHOMA COUNTY,OK,73114,"CHAPARRAL ENERGY, INC (100%)",207116,W
2011,"BHP Billiton Petrohawk Gulf Coast Basin, AAPG Basin 220",1008630,1360 Post Oak Blvd,29.7530996,-95.4621203,Houston,,TX,77433,BHP Billiton Petroleum (North America) Inc.  (100%),206810,W
2011,STRUCTURAL METALS INC,1004259,1 STEEL MILL ROAD,29.574556,-98.032806,SEGUIN,GUADALUPE COUNTY,TX,78155,COMMERCIAL METALS COMPANY (100%),206748,"C,Q"
2011,"Walton County Power, LLC",1001328,920 BIRCH ST,33.8147,-83.6969,MONROE,Walton,GA,30656,"WALTON COUNTY POWER, LLC (100%)",206648,"C,D"
